GRAPHS(reac/Pt or Eta/Analysis/track side/trigger/event plane),reac,NtrkMin,NtrkMax,PtMin,PtMax,EtaMin (p to -eta),EtaMax,EtaRef,EPSide,EPOrder,POI,Analysis,AnalType,MarkerColor,MarkerStyle,MarkerSize,Reference
PbPbEtaCum4120,PbPb,120,150,0.3,6,-2.4,2.4,lab,-,2,-,Cum4,Eta,kTeal-1,29,2,This Report
PbPbEtaCum4150,PbPb,150,185,0.3,6,-2.4,2.4,lab,-,2,-,Cum4,Eta,kTeal-1,29,2,This Report
PbPbEtaCum4185,PbPb,185,220,0.3,6,-2.4,2.4,lab,-,2,-,Cum4,Eta,kTeal-1,29,2,This Report
PbPbEtaCum4220,PbPb,220,260,0.3,6,-2.4,2.4,lab,-,2,-,Cum4,Eta,kTeal-1,29,2,This Report
PbPbEtaCum6120,PbPb,120,150,0.3,6,-2.4,2.4,lab,-,2,-,Cum6,Eta,kBlue,34,1.4,This Report
PbPbEtaCum6150,PbPb,150,185,0.3,6,-2.4,2.4,lab,-,2,-,Cum6,Eta,kBlue,34,1.4,This Report
PbPbEtaCum6185,PbPb,185,220,0.3,6,-2.4,2.4,lab,-,2,-,Cum6,Eta,kBlue,34,1.4,This Report
PbPbEtaCum6220,PbPb,220,260,0.3,6,-2.4,2.4,lab,-,2,-,Cum6,Eta,kBlue,34,1.4,This Report
PbPbEtaCum8120,PbPb,120,150,0.3,6,-2.4,2.4,lab,-,2,-,Cum8,Eta,kCyan +1,33,2.2,This Report
PbPbEtaCum8150,PbPb,150,185,0.3,6,-2.4,2.4,lab,-,2,-,Cum8,Eta,kCyan +1,33,2.2,This Report
PbPbEtaCum8185,PbPb,185,220,0.3,6,-2.4,2.4,lab,-,2,-,Cum8,Eta,kCyan +1,33,2.2,This Report
PbPbEtaCum8220,PbPb,220,260,0.3,6,-2.4,2.4,lab,-,2,-,Cum8,Eta,kCyan +1,33,2.2,This Report
PbPbEtaEP120HFplus,PbPb,120,150,0.3,3,-2.4,2.4,lab,HFplus,2,0,EP,Eta,kBlue,24,1.4,This Report
PbPbEtaEP150HFplus,PbPb,150,185,0.3,3,-2.4,2.4,lab,HFplus,2,0,EP,Eta,kBlue,24,1.4,This Report
PbPbEtaEP185HFPplus,PbPb,185,220,0.3,3,-2.4,2.4,lab,HFplus,2,0,EP,Eta,kBlue,24,1.4,This Report
PbPbEtaEP220HFplus,PbPb,220,260,0.3,3,-2.4,2.4,lab,HFplus,2,0,EP,Eta,kBlue,24,1.4,This Report
PbPbEtaEP260HFplus,PbPb,260,300,0.3,3,-2.4,2.4,lab,HFplus,2,0,EP,Eta,kBlue,24,1.4,This Report
PbPbEtaEP120HFminus,PbPb,120,150,0.3,3,-2.4,2.4,lab,HFminus,2,0,EP,Eta,kRed,24,1.4,This Report
PbPbEtaEP150HFminus,PbPb,150,185,0.3,3,-2.4,2.4,lab,HFminus,2,0,EP,Eta,kRed,24,1.4,This Report
